celltype_id,sample_id
19-fetal-mesenchymal-progenitor,fetal-heart-2
19-fetal-mesenchymal-progenitor,fetal-intestine-1
19-fetal-mesenchymal-progenitor,fetal-intestine-2
19-fetal-mesenchymal-progenitor,fetal-intestine-3
19-fetal-mesenchymal-progenitor,fetal-intestine-4
19-fetal-mesenchymal-progenitor,fetal-intestine-5
19-fetal-mesenchymal-progenitor,fetal-kidney-3
19-fetal-mesenchymal-progenitor,fetal-kidney-4
19-fetal-mesenchymal-progenitor,fetal-kidney-5
19-fetal-mesenchymal-progenitor,fetal-kidney-6
19-fetal-mesenchymal-progenitor,fetal-lung-1
19-fetal-mesenchymal-progenitor,fetal-lung-2
19-fetal-mesenchymal-progenitor,fetal-male-gonad-1
19-fetal-mesenchymal-progenitor,fetal-male-gonad-2
19-fetal-mesenchymal-progenitor,fetal-muscle-1
19-fetal-mesenchymal-progenitor,fetal-pancreas-1
19-fetal-mesenchymal-progenitor,fetal-pancreas-2
19-fetal-mesenchymal-progenitor,fetal-pancreas-3
19-fetal-mesenchymal-progenitor,fetal-rib-2
19-fetal-mesenchymal-progenitor,fetal-rib-3
19-fetal-mesenchymal-progenitor,fetal-skin-2
19-fetal-mesenchymal-progenitor,fetal-skin-3
19-fetal-mesenchymal-progenitor,fetal-spinal-cord-1
19-fetal-mesenchymal-progenitor,fetal-stomach-1
19-fetal-mesenchymal-progenitor,fetal-stomach-2
19-fetal-mesenchymal-progenitor,placenta-1
1-fetal-epithelial-progenitor,adult-adrenal-gland-2
1-fetal-epithelial-progenitor,adult-brain-1
1-fetal-epithelial-progenitor,adult-cervix-1
1-fetal-epithelial-progenitor,adult-fallopian-tube-1
1-fetal-epithelial-progenitor,adult-intestine-4
1-fetal-epithelial-progenitor,adult-intestine-5
1-fetal-epithelial-progenitor,adult-kidney-2
1-fetal-epithelial-progenitor,adult-kidney-3
1-fetal-epithelial-progenitor,adult-kidney-4.1
1-fetal-epithelial-progenitor,adult-kidney-4.2
1-fetal-epithelial-progenitor,adult-liver-1
1-fetal-epithelial-progenitor,adult-lung-1
1-fetal-epithelial-progenitor,adult-lung-2
1-fetal-epithelial-progenitor,adult-lung-3.1
1-fetal-epithelial-progenitor,adult-lung-3.2
1-fetal-epithelial-progenitor,adult-lung-3.3
1-fetal-epithelial-progenitor,adult-lung-3.4
1-fetal-epithelial-progenitor,adult-muscle-1
1-fetal-epithelial-progenitor,adult-pancreas-1
1-fetal-epithelial-progenitor,adult-pleura-1
1-fetal-epithelial-progenitor,adult-prostate-1
1-fetal-epithelial-progenitor,adult-sigmoid-colon-1
1-fetal-epithelial-progenitor,adult-spleen-1.2
1-fetal-epithelial-progenitor,adult-thyroid-1
1-fetal-epithelial-progenitor,adult-trachea-2
1-fetal-epithelial-progenitor,adult-transverse-colon-1
1-fetal-epithelial-progenitor,adult-transverse-colon-2.1
1-fetal-epithelial-progenitor,adult-uterus-1
1-fetal-epithelial-progenitor,cord-blood-2.1
1-fetal-epithelial-progenitor,cord-blood-cd34p-2.1
1-fetal-epithelial-progenitor,cord-blood-cd34p-2.2
1-fetal-epithelial-progenitor,embryonic-stem-cell-1
1-fetal-epithelial-progenitor,fetal-adrenal-gland-2
1-fetal-epithelial-progenitor,fetal-adrenal-gland-3
1-fetal-epithelial-progenitor,fetal-adrenal-gland-4
1-fetal-epithelial-progenitor,fetal-brain-3
1-fetal-epithelial-progenitor,fetal-brain-4
1-fetal-epithelial-progenitor,fetal-brain-5
